Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,0.560000,0.560000,0.460000,0.490000,0.490000,2859100
2020-05-12,0.450000,0.460000,0.420000,0.440000,0.440000,1505500
2020-05-13,0.440000,0.460000,0.380000,0.400000,0.400000,1293700
2020-05-14,0.400000,0.420000,0.390000,0.410000,0.410000,540500
2020-05-15,0.440000,0.440000,0.410000,0.430000,0.430000,604600
2020-05-18,0.440000,0.490000,0.430000,0.480000,0.480000,1952500
2020-05-19,0.470000,0.510000,0.430000,0.460000,0.460000,4161000
2020-05-20,0.450000,0.500000,0.440000,0.500000,0.500000,1306700
2020-05-21,0.470000,0.470000,0.390000,0.410000,0.410000,4078900
2020-05-22,0.460000,0.460000,0.400000,0.420000,0.420000,10521600
2020-05-26,0.420000,0.470000,0.400000,0.420000,0.420000,10195800
2020-05-27,0.420000,0.430000,0.410000,0.430000,0.430000,4816400
2020-05-28,0.420000,0.430000,0.400000,0.410000,0.410000,3472200
2020-05-29,0.410000,0.410000,0.380000,0.390000,0.390000,3638500
2020-06-01,0.380000,0.420000,0.370000,0.400000,0.400000,5841500
2020-06-02,0.400000,0.400000,0.380000,0.390000,0.390000,1895000
2020-06-03,0.400000,0.400000,0.370000,0.380000,0.380000,3255000
2020-06-04,0.380000,0.410000,0.370000,0.380000,0.380000,10133400
2020-06-05,0.400000,0.520000,0.380000,0.470000,0.470000,27124100
2020-06-08,0.660000,0.760000,0.550000,0.620000,0.620000,26298300
2020-06-09,1.020000,1.440000,0.840000,1.020000,1.020000,107215400
2020-06-10,1.150000,1.280000,0.980000,1.180000,1.180000,54762600
2020-06-11,1.100000,1.150000,1.000000,1.090000,1.090000,22238500
2020-06-12,1.190000,1.190000,1.050000,1.140000,1.140000,13942500
2020-06-15,1.150000,1.160000,1.080000,1.100000,1.100000,16871900
2020-06-16,1.170000,1.260000,1.100000,1.190000,1.190000,24613500
2020-06-17,1.250000,2.400000,1.190000,2.020000,2.020000,177944700
2020-06-18,2.160000,2.560000,1.810000,2.060000,2.060000,117469700
2020-06-19,2.270000,2.270000,2.030000,2.220000,2.220000,51945600
2020-06-22,2.810000,3.980000,2.600000,3.290000,3.290000,362851300
2020-06-23,3.070000,3.240000,2.850000,2.990000,2.990000,95310900
2020-06-24,2.800000,3.190000,2.280000,3.090000,3.090000,74292300
2020-06-25,2.950000,2.950000,2.320000,2.440000,2.440000,87765000
2020-06-26,1.950000,2.000000,1.200000,1.460000,1.460000,170809900
2020-06-29,1.780000,2.300000,1.650000,2.090000,2.090000,150672700
2020-06-30,2.180000,2.480000,1.890000,2.010000,2.010000,90764800
2020-07-01,1.750000,1.890000,1.550000,1.730000,1.730000,49477300
2020-07-02,1.670000,1.690000,1.440000,1.530000,1.530000,41741600
2020-07-06,1.510000,1.520000,1.360000,1.420000,1.420000,27711700
2020-07-07,1.350000,1.370000,1.250000,1.260000,1.260000,20231700
2020-07-08,1.270000,1.760000,1.220000,1.560000,1.560000,64075000
2020-07-09,1.500000,1.560000,1.380000,1.430000,1.430000,22749700
2020-07-10,1.380000,1.490000,1.320000,1.380000,1.380000,14256500
2020-07-13,1.360000,1.400000,1.300000,1.300000,1.300000,16481100
2020-07-14,1.280000,1.280000,1.160000,1.220000,1.220000,12412600
2020-07-15,1.250000,1.350000,1.230000,1.300000,1.300000,10131500
2020-07-16,1.270000,1.290000,1.220000,1.270000,1.270000,7494800
2020-07-17,1.300000,1.430000,1.240000,1.330000,1.330000,21520600
2020-07-20,1.350000,1.480000,1.300000,1.460000,1.460000,16808000
2020-07-21,1.520000,1.570000,1.370000,1.400000,1.400000,12974300
2020-07-22,1.360000,1.440000,1.330000,1.350000,1.350000,9430500
2020-07-23,1.350000,1.360000,1.300000,1.300000,1.300000,7131700
2020-07-24,1.290000,1.340000,1.270000,1.290000,1.290000,5494400
2020-07-27,1.320000,1.320000,1.240000,1.250000,1.250000,7444000
2020-07-28,1.240000,1.340000,1.220000,1.310000,1.310000,8310700
2020-07-29,1.280000,1.340000,1.240000,1.320000,1.320000,7803600
2020-07-30,1.300000,1.650000,1.290000,1.430000,1.430000,33661000
2020-07-31,1.480000,1.550000,1.420000,1.470000,1.470000,8769700
2020-08-03,1.540000,1.720000,1.510000,1.640000,1.640000,20834500
2020-08-04,1.660000,1.660000,1.370000,1.420000,1.420000,15828000
2020-08-05,1.480000,1.650000,1.450000,1.620000,1.620000,11448900
2020-08-06,1.640000,1.680000,1.560000,1.660000,1.660000,8417800
2020-08-07,1.670000,1.670000,1.510000,1.630000,1.630000,10203100
2020-08-10,1.840000,1.850000,1.730000,1.780000,1.780000,25105700
2020-08-11,1.420000,1.450000,1.320000,1.360000,1.360000,20880900
2020-08-12,1.340000,1.490000,1.270000,1.420000,1.420000,16887300
2020-08-13,1.380000,1.380000,1.300000,1.320000,1.320000,8258800
2020-08-14,1.320000,1.380000,1.300000,1.330000,1.330000,5541900
2020-08-17,1.320000,1.320000,1.280000,1.280000,1.280000,7023400
2020-08-18,1.270000,1.280000,1.200000,1.230000,1.230000,9766300
2020-08-19,1.210000,1.230000,1.190000,1.210000,1.210000,5392800
2020-08-20,1.210000,1.450000,1.110000,1.400000,1.400000,23968900
2020-08-21,1.370000,1.390000,1.220000,1.230000,1.230000,8901300
2020-08-24,1.260000,1.270000,1.200000,1.200000,1.200000,5347100
2020-08-25,1.220000,1.300000,1.180000,1.260000,1.260000,8960400
2020-08-26,1.280000,1.300000,1.250000,1.280000,1.280000,4495600
2020-08-27,1.270000,1.380000,1.260000,1.290000,1.290000,7689200
2020-08-28,1.300000,1.300000,1.260000,1.280000,1.280000,3171000
2020-08-31,1.310000,1.320000,1.250000,1.280000,1.280000,5277100
2020-09-01,1.260000,1.270000,1.210000,1.250000,1.250000,5162600
2020-09-02,1.230000,1.290000,1.200000,1.250000,1.250000,6088300
2020-09-03,1.260000,1.280000,1.200000,1.200000,1.200000,4408200
2020-09-04,1.190000,1.200000,1.050000,1.160000,1.160000,7197100
2020-09-08,1.100000,1.140000,1.070000,1.080000,1.080000,5121400
2020-09-09,1.110000,1.140000,1.080000,1.110000,1.110000,3409300
2020-09-10,1.160000,1.160000,1.100000,1.100000,1.100000,3579800
2020-09-11,1.080000,1.110000,1.030000,1.090000,1.090000,5287400
2020-09-14,1.090000,1.220000,1.050000,1.210000,1.210000,7217900
2020-09-15,1.110000,1.190000,1.080000,1.120000,1.120000,12095700
2020-09-16,1.080000,1.090000,1.050000,1.080000,1.080000,6817200
2020-09-17,1.050000,1.080000,0.950000,1.040000,1.040000,6887100
2020-09-18,1.040000,1.040000,0.990000,1.010000,1.010000,6069500
2020-09-21,1.000000,1.000000,0.920000,0.970000,0.970000,7538500
2020-09-22,0.930000,0.950000,0.900000,0.910000,0.910000,6769300
2020-09-23,0.900000,0.910000,0.810000,0.810000,0.810000,12442200
2020-09-24,0.840000,0.930000,0.820000,0.870000,0.870000,11281800
2020-09-25,0.900000,1.040000,0.870000,0.970000,0.970000,13520800
2020-09-28,1.000000,1.040000,0.930000,0.960000,0.960000,6895600
2020-09-29,0.960000,0.970000,0.900000,0.910000,0.910000,4970400
2020-09-30,0.900000,0.960000,0.890000,0.910000,0.910000,4392800
2020-10-01,0.890000,1.000000,0.890000,0.950000,0.950000,4844500
2020-10-02,0.900000,0.930000,0.880000,0.910000,0.910000,2893100
2020-10-05,0.910000,0.940000,0.910000,0.910000,0.910000,2690900
2020-10-06,0.910000,1.040000,0.900000,0.950000,0.950000,14636400
2020-10-07,0.970000,1.010000,0.950000,0.960000,0.960000,4737300
2020-10-08,0.990000,1.000000,0.960000,0.970000,0.970000,3367900
2020-10-09,0.990000,1.020000,0.980000,1.000000,1.000000,3382200
2020-10-12,1.000000,1.020000,0.990000,1.000000,1.000000,2846800
2020-10-13,0.990000,1.000000,0.970000,0.980000,0.980000,1964700
